hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,schooling,enrolled,illness1,illness2,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
101000037,0,101,13128.99,3905.66,1030.54,1840,833.3333,666.6667,9,-1.014014,1.906489,.2232699,100,93.42538,42.85714,1,37,0,0,1,9,1,1,9,2,4,2,1,0,.6666667,.7777778,1,2,13128.99,1,0,0,0,0,1,.5,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000037,1,101,10699.43,7759.572,2635.076,509.684,356.7788,132.5178,10,-.740491,.9300077,.7565678,100,89.28571,57.14286,1,37,0,0,1,9,1,1,9,2,4,2,1,0,.6666667,.7777778,1,2,13128.99,1,0,0,0,0,1,.5,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000038,0,101,8234.813,6520.98,2052.42,0,165,0,11,-2.075155,3.187577,,,100,100,1,58,0,1,0,0,0,0,8,2,3,2,0,1,.625,.875,0,3,8234.813,1,0,0,0,0,5,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000038,1,101,5551.898,3956.587,940.1529,40.77472,412.844,106.0143,10,-1.854384,-.5119814,.6164367,100,99.55357,66.66667,1,58,0,1,0,0,0,0,8,2,3,2,0,1,.625,.875,0,3,8234.813,1,0,0,0,0,5,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000039,0,101,5536.87,3199.87,887.65,11.66667,0,0,9,2.568815,2.342835,1.113617,66.66667,100,100,1,43,0,1,0,12,0,4,5,1,3,0,1,0,.8,.6,1,1,5536.87,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000039,1,101,11218.48,4859.664,1986.239,2293.578,586.1366,40.77472,10,.1065791,-.7017744,1.677009,100,100,80,1,43,0,1,0,12,0,4,5,1,3,0,1,0,.8,.6,1,1,5536.87,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000040,0,101,17581.55,5343.22,974.25,2166.667,4383.333,533.3333,8,2.13849,.0134419,.9680758,100,89.0423,90,1,49,0,0,1,15,1,0,10,1,7,0,2,0,.8,.6,2,2,17581.55,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000040,1,101,9970.067,3924.807,1350.642,101.9368,63.7105,81.54944,8,2.560766,-.7397564,.9489608,100,99.60317,88.88889,1,49,0,0,1,15,1,0,10,1,7,0,2,0,.8,.6,2,2,17581.55,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000041,0,101,12352.23,3814.73,1385.6,12.5,125,4100,10,,,2.454973,100,94.24721,75,1,58,0,0,1,12,1,0,4,0,1,1,1,1,.25,.75,3,3,12352.23,1,0,0,0,0,1,4,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000041,1,101,10285.94,1445.982,529.6636,815.4944,61.16208,3669.725,8,,,-.43977,100,75,60,1,58,0,0,1,12,1,0,4,0,1,1,1,1,.25,.75,3,3,12352.23,1,0,0,0,0,1,4,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
